"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.12.2024","80,61","80,45","83,25","79,79","2,91M","-0,58%"
"01.11.2024","81,08","81,39","83,77","77,50","5,09M","-0,10%"
"01.10.2024","81,17","76,39","82,87","76,38","3,27M","6,89%"
"01.09.2024","75,93","72,60","77,38","71,93","2,28M","4,25%"
"01.08.2024","72,83","72,62","73,46","69,29","2,30M","1,19%"
"01.07.2024","71,98","69,46","73,03","69,40","2,22M","2,95%"
"01.06.2024","69,92","68,85","71,25","68,50","80,25K","1,24%"
"01.05.2024","69,06","69,45","72,37","67,95","1,99M","-0,07%"
"01.04.2024","69,11","67,54","73,46","67,27","3,80M","4,58%"
"01.03.2024","66,08","60,75","66,08","60,64","142,34K","8,67%"
"01.02.2024","60,81","60,81","61,08","59,54","2,13M","0,03%"
"01.01.2024","60,79","60,42","60,80","59,16","2,84M","1,49%"
"01.12.2023","59,90","60,15","61,37","58,97","3,00M","-0,33%"
"01.11.2023","60,10","60,22","60,80","57,55","5,77M","-0,84%"
"01.10.2023","60,61","56,03","60,80","55,35","4,43M","7,51%"
"01.09.2023","56,38","57,53","58,40","56,36","2,73M","-2,01%"
"01.08.2023","57,53","57,29","57,63","55,69","2,99M","0,17%"
"01.07.2023","57,43","56,58","57,46","55,74","2,28M","1,64%"
"01.06.2023","56,51","59,03","59,38","55,92","2,74M","-5,01%"
"01.05.2023","59,49","58,03","60,11","57,90","3,43M","2,64%"
"01.04.2023","57,96","58,15","59,65","57,50","3,76M","-0,99%"
"01.03.2023","58,53","55,44","60,60","55,13","7,35M","5,76%"
"01.02.2023","55,35","56,86","57,25","54,72","3,85M","-2,97%"
"01.01.2023","57,04","54,80","57,38","54,74","4,39M","4,10%"
"01.12.2022","54,79","54,83","55,34","53,40","4,46M","0,30%"
"01.11.2022","54,63","53,28","55,40","53,23","4,89M","2,63%"
"01.10.2022","53,23","54,63","56,34","52,94","4,56M","-3,04%"
"01.09.2022","54,90","54,76","55,58","53,38","6,73M","-0,12%"
"01.08.2022","54,97","55,43","56,83","54,94","5,31M","-1,20%"
"01.07.2022","55,63","55,30","56,40","52,85","6,11M","0,07%"
"01.06.2022","55,60","55,03","57,19","54,81","5,50M","0,66%"
"01.05.2022","55,23","57,44","58,16","55,18","8,08M","-5,06%"
"01.04.2022","58,17","56,12","59,04","55,94","4,76M","3,26%"
"01.03.2022","56,34","54,69","61,13","54,65","13,06M","3,55%"
"01.02.2022","54,41","51,48","56,86","50,42","8,18M","5,64%"
"01.01.2022","51,51","51,73","52,81","50,68","6,02M","0,68%"
"01.12.2021","51,15","50,52","51,66","50,01","4,52M","1,17%"
